"고유번호","일련번호","도시계획사항 코드","도시계획사항 명칭","결정조서 일련번호","고시 일련번호","라벨","고시일자","X 좌표","Y 좌표"
"2692","제1종일반주거지역_00629","UQA121","제1종일반주거지역","","","제1종일반주거지역","","1520.804348","162.4802983"
"2693","제2종일반주거지역_00185","UQA122","제2종일반주거지역","","","제2종일반주거지역","","6018.173927","413.7271106"
"2694","제2종일반주거지역_00444","UQA122","제2종일반주거지역","","","제2종일반주거지역","","12058.78496","455.805162"
"2695","제3종일반주거지역_00480","UQA123","제3종일반주거지역","","","제3종일반주거지역","","6170.214938","336.2192947"
"2696","제1종일반주거지역_00898","UQA121","제1종일반주거지역","","","제1종일반주거지역","","1492358.335","9213.117023"
"2697","제3종일반주거지역_00643","UQA123","제3종일반주거지역","","","제3종일반주거지역","","9.31289848","29.78987818"
"2698","제2종일반주거지역_UQA12220110809181","UQA122","제2종일반주거지역","UQA12220110809181","58027634","제2종일반주거지역","20110519","52552.63855","1120.268839"
"2699","제2종일반주거지역_01407","UQA122","제2종일반주거지역","","","제2종일반주거지역","","1263.949792","623.2930586"
"2700","제2종일반주거지역(7층이하)_00526","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","243509.015","4154.43079"
"2701","제2종일반주거지역_01444","UQA122","제2종일반주거지역","","","제2종일반주거지역","","16890.64706","597.2432299"
"2702","제2종일반주거지역(7층이하)_UQA12420121227282","UQA124","제2종일반주거지역(7층이하)","UQA12420121227282","58030359","제2종일반주거지역(7층이하)","20121025","12361.6077","767.277147"
"2703","제3종일반주거지역_UQA12320081218767","UQA123","제3종일반주거지역","UQA12320081218767","58011901","제3종일반주거지역","","170843.3774","2341.27837"
"2704","제3종일반주거지역_00177","UQA123","제3종일반주거지역","","","제3종일반주거지역","","25112.76769","809.0201988"
"2705","제3종일반주거지역_00065","UQA123","제3종일반주거지역","","","제3종일반주거지역","","271891.0048","4011.169195"
"2706","제3종일반주거지역_00232","UQA123","제3종일반주거지역","","","제3종일반주거지역","","9323.894874","1613.725317"
"2707","제2종일반주거지역_UQA12220141031389","UQA122","제2종일반주거지역","UQA12220141031389","58037434","제2종일반주거지역","20160908","102677.4769","2157.548393"
"2708","제2종일반주거지역(7층이하)_00461","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","46564.57954","911.8147776"
"2709","제1종일반주거지역_00542","UQA121","제1종일반주거지역","","","제1종일반주거지역","","948.2984996","129.8357731"
"2710","제2종일반주거지역_00859","UQA122","제2종일반주거지역","","","제2종일반주거지역","","3987.22252","272.4571351"
"2711","제1종일반주거지역_00533","UQA121","제1종일반주거지역","","","제1종일반주거지역","","594.7830165","170.6754287"
"2712","제2종일반주거지역(7층이하)_00392","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","7338.030395","510.2663276"
"2713","제3종일반주거지역_00442","UQA123","제3종일반주거지역","","","제3종일반주거지역","","10643.66726","633.2277805"
"2714","제2종일반주거지역(7층이하)_00415","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","23.46771738","94.37610669"
"2715","제1종전용주거지역_22","UQA111","제1종전용주거지역","","","제1종전용주거지역","","714.5083834","111.3229392"
"2716","제1종일반주거지역_00562","UQA121","제1종일반주거지역","","","제1종일반주거지역","","13.34094732","15.05137754"
"2717","제3종일반주거지역_00787","UQA123","제3종일반주거지역","","","제3종일반주거지역","","6.669765835","107.8531153"
"2718","준주거지역_4249","UQA130","준주거지역","44676","1923","준주거지역","","35173.90462","1053.995097"
"2719","제1종일반주거지역_00311","UQA121","제1종일반주거지역","","","제1종일반주거지역","","1044.399796","128.3206981"
"2720","제1종일반주거지역_00961","UQA121","제1종일반주거지역","","","제1종일반주거지역","","937.2676559","121.57217"
"2721","제1종일반주거지역_01233","UQA121","제1종일반주거지역","","","제1종일반주거지역","","16608.34549","538.0979704"
"2722","제3종일반주거지역_00504","UQA123","제3종일반주거지역","","","제3종일반주거지역","","14645.09299","503.2052697"
"2723","제2종일반주거지역(7층이하)_00109","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","225623.4771","5433.858759"
"2724","제1종일반주거지역_00568","UQA121","제1종일반주거지역","","","제1종일반주거지역","","9713.243744","395.5979509"
"2725","제1종일반주거지역_00865","UQA121","제1종일반주거지역","","","제1종일반주거지역","","1085.66523","132.4460249"
"2726","제2종일반주거지역_00376","UQA122","제2종일반주거지역","","","제2종일반주거지역","","243740.7085","6056.471109"
"2727","제2종일반주거지역(7층이하)_00748","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","21603.65035","663.6570692"
"2728","제3종일반주거지역_00473","UQA123","제3종일반주거지역","","","제3종일반주거지역","","14721.60997","698.8154576"
